El Salvador,2022-02-06,9649
Maldives,2022-01-22,2460
Switzerland,2022-01-17,60167
Maldives,2022-02-18,1782
World,2022-01-13,36590735
Ukraine,2022-01-20,68696
Macao,2022-01-13,2413
Low income,2022-01-15,463000
Iraq,2022-01-04,35970
Spain,2022-01-18,231475
Azerbaijan,2022-02-13,37100
Qatar,2022-01-10,13324
Sint Maarten (Dutch part),2022-01-14,892
Belgium,2022-02-05,31445
Belgium,2022-02-06,31908
Togo,2022-01-11,4798
Bahamas,2022-02-06,316
China,2022-02-12,5385000
Yemen,2022-01-17,1926
Equatorial Guinea,2022-01-16,215
Georgia,2022-01-16,7687
Belgium,2022-01-21,75822
Equatorial Guinea,2022-01-10,97
Burkina Faso,2022-01-03,10718
Jersey,2022-02-08,105
Scotland,2022-01-14,19041
Mali,2022-01-29,
Europe,2022-01-26,2853788
Angola,2022-01-29,124771
Algeria,2022-01-14,18041
Estonia,2022-01-08,4388
Paraguay,2022-02-18,17542
Central African Republic,2022-02-04,6515
Germany,2022-02-11,197525
Spain,2022-02-04,133479
Algeria,2022-01-13,18951
Timor,2022-01-08,1117
Philippines,2022-02-04,378400
Japan,2022-01-12,135516
Mongolia,2022-01-05,2284
Myanmar,2022-01-16,187062
Cook Islands,2022-01-25,6
South Sudan,2022-01-16,1556
Liechtenstein,2022-02-01,111
Morocco,2022-01-16,52767
Europe,2022-01-27,2709914
Panama,2022-01-24,27091
Albania,2022-01-24,5471
Gibraltar,2022-02-14,65
Armenia,2022-02-11,4755
South Africa,2022-01-03,32010
Samoa,2022-01-30,382
Serbia,2022-02-16,2078
Bermuda,2022-01-09,170
Slovenia,2022-02-03,3028
Botswana,2022-01-29,2733
Niger,2022-01-29,972
Angola,2022-01-02,47890
Romania,2022-02-18,7272
Comoros,2022-01-16,609
Poland,2022-02-15,60111
Dominican Republic,2022-01-26,20133
Sri Lanka,2022-01-10,40838
Sao Tome and Principe,2022-01-01,384
Belgium,2022-01-02,45698
Indonesia,2022-01-19,1252137
Anguilla,2022-02-16,30
Uzbekistan,2022-01-21,3947
European Union,2022-01-12,3216215
South Sudan,2022-02-02,3848
Honduras,2022-01-06,31380
Finland,2022-01-10,54967
Democratic Republic of Congo,2022-01-13,5760
Qatar,2022-01-16,16347
Laos,2022-01-19,37150
Mexico,2022-02-04,493995
Turkey,2022-02-07,163407
Nepal,2022-01-05,219014
Philippines,2022-01-21,684412
Lower middle income,2022-01-03,12656196
Cote d'Ivoire,2022-02-17,
Singapore,2022-01-18,42687
Dominica,2022-02-10,24
Chile,2022-02-05,50256
Upper middle income,2022-02-14,10072015
Venezuela,2022-02-10,142898
Iceland,2022-01-31,1882
Iceland,2022-01-29,1906
Guinea,2022-02-07,1261
Saint Lucia,2022-01-06,97
Mexico,2022-01-16,562477
South America,2022-01-25,2135753
Cayman Islands,2022-01-02,226
Portugal,2022-01-10,60167
Wales,2022-01-23,7101
Hungary,2022-02-18,
Armenia,2022-01-01,5739
Aruba,2022-02-11,61
Morocco,2022-02-04,52160
South America,2022-02-09,2118655
South America,2022-01-17,2636378
Cote d'Ivoire,2022-02-05,65578
Jamaica,2022-01-07,3164
Dominican Republic,2022-01-16,17863
Myanmar,2022-01-07,161752
Singapore,2022-01-17,44080
Oceania,2022-01-10,266799
Cayman Islands,2022-01-17,184
Samoa,2022-01-11,57
New Zealand,2022-02-05,40596
Upper middle income,2022-01-26,8792432
Latvia,2022-02-17,2146
Dominica,2022-01-20,39
Panama,2022-02-17,13090
Comoros,2022-01-26,609
Upper middle income,2022-02-13,9772248
Anguilla,2022-02-04,30
Uruguay,2022-01-21,19947
Rwanda,2022-01-10,127901
Austria,2022-01-02,35485
Latvia,2022-01-01,6182
French Polynesia,2022-01-03,252
Comoros,2022-02-10,714
Tanzania,2022-01-09,33124
New Caledonia,2022-01-28,184
Singapore,2022-01-10,48722
Canada,2022-02-16,104531
Bulgaria,2022-02-14,5385
India,2022-02-06,5503435
Nepal,2022-01-27,242460
Austria,2022-01-20,36205
Afghanistan,2022-02-06,12847
Czechia,2022-02-04,23112
Australia,2022-02-01,211486
Nicaragua,2022-01-28,35183
Andorra,2022-01-20,760
Angola,2022-01-01,53366
Guinea-Bissau,2022-01-11,104
Turkey,2022-02-15,146135
Burundi,2022-01-18,56
Guyana,2022-01-27,2052
South America,2022-01-26,1988511
Israel,2022-02-08,7394
Guatemala,2022-01-05,21206
Algeria,2022-01-03,22589
Georgia,2022-01-02,7367
South Africa,2022-01-31,61721
Laos,2022-01-22,42599
Sierra Leone,2022-01-07,1199
Afghanistan,2022-01-22,8475
Northern Ireland,2022-01-08,6921
United States,2022-01-19,930887
Bulgaria,2022-01-05,12358
Kosovo,2022-02-12,1225
Angola,2022-01-23,139392
Nepal,2022-01-15,226666
Armenia,2022-01-02,4788
Equatorial Guinea,2022-01-07,49
Kenya,2022-01-04,81589
Asia,2022-01-29,16360764
Greenland,2022-01-16,51
Kyrgyzstan,2022-01-01,5202
Chad,2022-01-07,2544
Greenland,2022-01-29,12
Kenya,2022-01-22,70927
Malta,2022-01-21,3764
Netherlands,2022-02-04,33311
Kuwait,2022-02-02,5646
Wallis and Futuna,2022-01-14,7
Serbia,2022-01-07,2459
Nepal,2022-02-04,342787
South America,2022-01-11,1966125
Malaysia,2022-01-30,172617
Tunisia,2022-02-18,7453
Haiti,2022-01-18,251
Fiji,2022-01-28,226
Greenland,2022-01-22,47
Saint Kitts and Nevis,2022-01-13,68
Djibouti,2022-01-07,608
Albania,2022-01-13,7556
Qatar,2022-02-11,16919
Kosovo,2022-01-04,1546
Guinea,2022-01-08,24076
China,2022-01-03,10479429
World,2022-01-22,29131481
Guernsey,2022-02-14,83
Liechtenstein,2022-02-05,100
Tajikistan,2022-01-22,30590
Isle of Man,2022-01-05,340
Cambodia,2022-02-05,36325
Sweden,2022-01-14,57682
Saudi Arabia,2022-01-27,257257
Somalia,2022-01-09,5028
Denmark,2022-02-17,2754
Indonesia,2022-01-16,1252137
Dominica,2022-01-23,46
Comoros,2022-01-19,609
Chile,2022-01-21,72213
Faeroe Islands,2022-01-14,265
Switzerland,2022-02-09,13192
Jordan,2022-01-29,15773
